,TIL_14,TIL_1,TIL_10,TIL_11,TIL_12,TIL_13,TIL_15,TIL_16,TIL_17,TIL_18,TIL_19,TIL_2,TIL_20,TIL_21,TIL_22,TIL_23,TIL_24,TIL_26,TIL_27,TIL_28,TIL_29,TIL_3,TIL_30,TIL_31,TIL_32,TIL_34,TIL_35,TIL_36,TIL_37,TIL_38,TIL_39,TIL_4,TIL_40,TIL_41,TIL_42,TIL_43,TIL_44,TIL_5,TIL_6,TIL_7,TIL_8,TIL_9,Gene_Names
1130,-0.006105615,-0.790159267,-0.880194972,0.659025183,-0.697110862,-0.646765128,-1.241759643,-0.230406359,1.119570224,0.014162758,-0.978359605,-0.550384715,0.721877523,-4.516210725,-0.759886828,-4.307799782,-0.399083457,-0.545448046,-1.189492379,-0.999435508,-0.234643477,0.264094936,1.823565507,1.053970054,-1.311982862,0.609794181,1.367801137,-0.775022641,0.458132991,0.153372509,0.600223901,-0.006105615,-0.470587154,0.561651099,-4.133732648,-0.006105615,-0.006105615,0.767258151,0.143047429,-0.006105615,1.211592459,1.233302102,EOGT
1131,-0.726440018,-2.405989082,-0.745905445,-1.373398828,-1.533899064,-1.375976193,-0.687587434,-0.941862626,-0.773036554,-1.791619702,-2.993367289,-2.114580867,-0.103369265,-1.212363355,-0.455552684,0.010234005,0.764651521,-0.775908023,-0.807806467,0.263116945,0.2065517,0.885835089,-0.36225288,-1.1420353,0.068878534,0.19864014,0.274446281,-1.586853626,-0.327562028,-0.554800982,0.984296738,0.675582232,-0.431048747,0.588687099,-0.87254338,-0.262365775,-0.768043108,-0.9560239,0.814672948,-2.067002402,-0.69592592,-1.774368753,EPB41
1132,0.087531,-1.581810493,-0.014145696,-0.689308009,-0.222560369,-1.445444844,-0.509250743,0.287985733,-0.033969368,0.364539058,-1.021902084,0.267786126,0.428565816,0.516815878,0.047094193,-0.288604318,-0.472585162,-0.873318532,1.129040458,1.053192507,-0.651399862,1.059510202,-1.004943436,0.392216417,0.593860491,0.466475941,-1.200936409,-1.293513489,-0.447991068,-2.279131233,0.18252396,0.424240184,1.54853103,0.471271889,-1.66667298,-0.157909359,-2.281169199,0.118116319,-0.611461664,-0.126843239,-0.317030976,-0.901630431,EPB41L2
1133,-1.161895894,-0.883087534,0.101467509,0.887884291,0.100601443,-1.561826612,-2.102661389,-0.063140514,-0.920986092,-0.340138599,-1.672316319,0.62257268,-0.50640604,-1.551165743,-1.146086378,-1.453491218,-0.291635608,-0.246772701,0.413750758,-0.284902427,0.071831315,-0.313717052,-0.425215,-0.191802428,-0.182867181,-0.193205716,-0.919546989,-0.448738805,0.06599676,-0.905858142,-0.532055941,-2.82299446,-0.165726006,1.468507128,-1.598625764,-1.054684867,-0.80118454,-0.265560271,0.699650446,-1.909880151,-1.509930983,-0.583430626,EPB41L3
1134,-0.332896385,-0.332896385,-0.332896385,1.225965674,2.227754246,0.531300951,0.305011564,-0.332896385,0.332267844,1.178593867,0.573993102,-0.332896385,-0.332896385,-0.332896385,-0.332896385,-0.332896385,1.012769221,-0.332896385,0.10033022,0.375297365,-0.236566973,0.95946622,-0.332896385,1.640022012,-0.332896385,-0.908281944,0.649427303,-0.332896385,-0.332896385,1.247840349,-0.332896385,-0.332896385,0.712968024,-0.332896385,-0.332896385,-0.332896385,-0.332896385,-0.332896385,-0.332896385,0.162781094,-0.332896385,-0.332896385,EPDR1
1135,0.756401761,0.33375917,1.112017974,-0.20858243,0.368139355,0.134795813,0.626074818,0.676614639,1.73956662,0.687135863,-0.342520284,0.894414017,1.130018528,1.281858309,0.598484224,-0.093712342,-0.999296506,-0.353676382,-0.220061893,0.298298945,0.07894957,1.675210483,-0.725158292,0.100179571,2.232285678,-0.494156992,-0.067476647,-1.251693802,0.902654439,-0.743158953,1.884443918,2.897264597,1.090978834,-1.679527482,-0.498306845,-0.7809819,-1.560604551,1.041289388,0.306469305,-0.278914355,0.203134731,1.478976329,EPHA2
1136,-0.072938125,-0.164675013,-0.038439584,-0.544383069,0.48396256,0.69732513,-1.283553978,-0.563841678,-0.88424294,0.888241641,0.680200411,-0.754754618,0.643763509,0.088924398,0.418240423,1.484294362,0.196351207,-0.526328008,-0.713712434,0.155378665,-1.106598845,1.411884836,-1.249661677,0.052317855,-1.119181675,0.111781166,-0.734323703,-0.259361852,1.781325203,-0.250195931,-0.514490702,-0.836930055,0.983659718,2.107587708,-0.573235274,-0.732053204,-1.35594029,-0.683241505,-0.551728484,-1.769395114,-0.602379439,-0.318101067,EPHX1
1137,0.462068497,-0.323215781,-1.546495809,-0.390395965,0.27058247,0.086215828,0.628735081,0.041624539,-0.976720566,0.84466792,-1.246152455,0.356554369,1.720853609,-1.997851233,-0.165493697,-0.004163373,-0.375041919,-0.550350697,-2.059676789,0.021910427,-0.985477437,-0.270442315,-2.0646496,1.7708835,-0.375380437,-1.202076816,2.514915752,-0.155734391,-2.156377626,0.871211447,0.585839009,0.902491609,-0.356670072,0.659524522,-0.398788076,0.408698032,-1.116003886,0.715178019,-0.035170621,-0.098915761,-0.55733415,0.273276185,EPM2AIP1
1138,2.866228478,-0.489024956,-0.264452811,-0.8136945,0.221187387,1.396896686,-0.097690366,-1.444082238,1.025562067,0.472360621,-0.71444758,-0.206848871,0.065845441,0.25891024,-0.377291999,0.196336029,-2.16045217,1.869522118,1.522548079,0.513252193,0.285067799,-1.149103246,-0.192960765,0.145537444,1.059861666,-1.008912931,0.79280673,0.110635803,0.206963966,0.48281328,-0.335921385,0.907991747,1.363563401,0.15683601,-0.257862362,0.089500337,-0.584775006,0.221071551,-0.044373877,0.283122977,-0.462253161,-1.627750617,EPN1
1139,0.87195659,0.023543528,0.404135092,0.09951596,-0.897922107,-1.076053681,-1.082072944,-0.181073251,0.669258703,0.448945159,-0.755185683,-0.340076498,0.259345116,0.595355533,-0.056199359,-0.20604803,-1.09401272,0.600676812,-2.156899608,0.994978919,-0.157366513,-0.034811002,0.650895687,-0.00449699,1.535087677,0.090601526,-1.016850799,-2.711268768,-0.098390306,-4.201069958,-0.800886744,1.606100165,0.344514766,-0.028715433,-0.41120569,-1.45873695,0.035205008,0.003140427,-1.889960343,0.017353697,-0.313604759,0.044422425,EPRS
